date,price_sterling,period
15/01/2018,41.5,23
16/01/2018,47.97,0
16/01/2018,47.93,1
16/01/2018,47.56,2
16/01/2018,42.63,3
16/01/2018,39.01,4
16/01/2018,31.29,5
16/01/2018,39.02,6
16/01/2018,52.91,7
16/01/2018,46,8
16/01/2018,50.99,9
16/01/2018,56.08,10
16/01/2018,50,11
16/01/2018,47.33,12
16/01/2018,47.44,13
16/01/2018,47.44,14
16/01/2018,49,15
16/01/2018,52.52,16
16/01/2018,56.97,17
16/01/2018,73,18
16/01/2018,65.5,19
16/01/2018,60.15,20
16/01/2018,51.55,21
16/01/2018,52.55,22
16/01/2018,40,23
17/01/2018,46.41,0
17/01/2018,47.44,1
17/01/2018,48,2
17/01/2018,42.43,3
17/01/2018,38.59,4
17/01/2018,34.6,5
17/01/2018,38.54,6
17/01/2018,47.49,7
17/01/2018,46.21,8
17/01/2018,50,9
17/01/2018,50,10
17/01/2018,48.76,11
17/01/2018,44.48,12
17/01/2018,46,13
17/01/2018,46,14
17/01/2018,46,15
17/01/2018,48.03,16
17/01/2018,50.73,17
17/01/2018,75.12,18
17/01/2018,70,19
17/01/2018,59.93,20
17/01/2018,58.61,21
17/01/2018,51.99,22
17/01/2018,43.73,23
18/01/2018,44.88,0
18/01/2018,50,1
18/01/2018,47.04,2
18/01/2018,42.07,3
18/01/2018,41.67,4
18/01/2018,39,5
18/01/2018,39.02,6
18/01/2018,48,7
18/01/2018,43.28,8
18/01/2018,51,9
18/01/2018,53.85,10
18/01/2018,57,11
18/01/2018,52,12
18/01/2018,48.33,13
18/01/2018,46,14
18/01/2018,45.8,15
18/01/2018,48.04,16
18/01/2018,59.8,17
18/01/2018,84.96,18
18/01/2018,67.35,19
18/01/2018,56.42,20
18/01/2018,50,21
18/01/2018,47.87,22
18/01/2018,40,23
19/01/2018,39.65,0
19/01/2018,43.9,1
19/01/2018,39.15,2
19/01/2018,37.55,3
19/01/2018,37.99,4
19/01/2018,37,5
19/01/2018,38,6
19/01/2018,47.96,7
19/01/2018,56.24,8
19/01/2018,57.43,9
19/01/2018,58.56,10
19/01/2018,50,11
19/01/2018,44.7,12
19/01/2018,41.38,13
19/01/2018,41.1,14
19/01/2018,41.22,15
19/01/2018,42.73,16
19/01/2018,50.3,17
19/01/2018,75.1,18
19/01/2018,67.94,19
19/01/2018,55.5,20
19/01/2018,44,21
19/01/2018,42.23,22
19/01/2018,38.97,23
20/01/2018,40.67,0
20/01/2018,43.91,1
20/01/2018,43.67,2
20/01/2018,41.09,3
20/01/2018,40.96,4
20/01/2018,43.67,5
20/01/2018,43.52,6
20/01/2018,46.9,7
20/01/2018,41.09,8
20/01/2018,46.83,9
20/01/2018,62.73,10
20/01/2018,63.73,11
20/01/2018,59.55,12
20/01/2018,59.95,13
20/01/2018,47.6,14
20/01/2018,44.06,15
20/01/2018,45.7,16
20/01/2018,56.5,17
20/01/2018,100,18
20/01/2018,84.8,19
20/01/2018,59.11,20
20/01/2018,53.1,21
20/01/2018,49.02,22
20/01/2018,46.15,23
21/01/2018,47.56,0
21/01/2018,50.91,1
21/01/2018,49.91,2
21/01/2018,45.92,3
21/01/2018,43.5,4
21/01/2018,42.32,5
21/01/2018,40.75,6
21/01/2018,40.91,7
21/01/2018,41.03,8
21/01/2018,42.22,9
21/01/2018,44.42,10
21/01/2018,58.87,11
21/01/2018,53.22,12
21/01/2018,62,13
21/01/2018,48,14
21/01/2018,42.95,15
21/01/2018,43.07,16
21/01/2018,51.56,17
21/01/2018,82.01,18
21/01/2018,64.22,19
21/01/2018,45.54,20
21/01/2018,42.89,21
21/01/2018,40.57,22
21/01/2018,38.7,23
22/01/2018,42,0
22/01/2018,41.02,1
22/01/2018,40.91,2
22/01/2018,40.62,3
22/01/2018,40.58,4
22/01/2018,40.52,5
22/01/2018,40.8,6
22/01/2018,48,7
22/01/2018,46.84,8
22/01/2018,55.22,9
22/01/2018,60.91,10
22/01/2018,52.8,11
22/01/2018,45,12
22/01/2018,44.9,13
22/01/2018,43.5,14
22/01/2018,42.05,15
22/01/2018,42.46,16
22/01/2018,54.6,17
22/01/2018,81.5,18
22/01/2018,65.03,19
22/01/2018,58.44,20
22/01/2018,50,21
22/01/2018,51.64,22
22/01/2018,40.41,23
23/01/2018,46.95,0
23/01/2018,46.21,1
23/01/2018,46.72,2
23/01/2018,42.22,3
23/01/2018,40.38,4
23/01/2018,32.68,5
23/01/2018,36.36,6
23/01/2018,44.48,7
23/01/2018,47.93,8
23/01/2018,46.16,9
23/01/2018,54,10
23/01/2018,51.68,11
23/01/2018,44.88,12
23/01/2018,44.88,13
23/01/2018,44.88,14
23/01/2018,43.59,15
23/01/2018,45,16
23/01/2018,52,17
23/01/2018,68.17,18
23/01/2018,58.88,19
23/01/2018,51.36,20
23/01/2018,48.88,21
23/01/2018,46.53,22
23/01/2018,40,23
24/01/2018,50.12,0
24/01/2018,45.55,1
24/01/2018,43.94,2
24/01/2018,38.8,3
24/01/2018,36.96,4
24/01/2018,29.99,5
24/01/2018,37.92,6
24/01/2018,50,7
24/01/2018,43.99,8
24/01/2018,46.15,9
24/01/2018,54,10
24/01/2018,50,11
24/01/2018,48.66,12
24/01/2018,50,13
24/01/2018,46.66,14
24/01/2018,41.58,15
24/01/2018,42.44,16
24/01/2018,51.6,17
24/01/2018,74,18
24/01/2018,63.92,19
24/01/2018,56.68,20
24/01/2018,45.21,21
24/01/2018,45.44,22
24/01/2018,39.9,23
25/01/2018,40.58,0
25/01/2018,44.97,1
25/01/2018,44.93,2
25/01/2018,41.94,3
25/01/2018,40.55,4
25/01/2018,40,5
25/01/2018,44.94,6
25/01/2018,47.55,7
25/01/2018,42.41,8
25/01/2018,49.6,9
25/01/2018,53.2,10
25/01/2018,48.44,11
25/01/2018,41.07,12
25/01/2018,41.05,13
25/01/2018,46.55,14
25/01/2018,56,15
25/01/2018,41.05,16
25/01/2018,50.21,17
25/01/2018,80.82,18
25/01/2018,73.17,19
25/01/2018,60.94,20
25/01/2018,55,21
25/01/2018,49,22
25/01/2018,41.09,23
26/01/2018,42.68,0
26/01/2018,42.69,1
26/01/2018,42.69,2
26/01/2018,39.77,3
26/01/2018,39.89,4
26/01/2018,39.95,5
26/01/2018,40.76,6
26/01/2018,46,7
26/01/2018,52.53,8
26/01/2018,62,9
26/01/2018,62.62,10
26/01/2018,61.55,11
26/01/2018,48.39,12
26/01/2018,46.44,13
26/01/2018,45.01,14
26/01/2018,44.55,15
26/01/2018,44.25,16
26/01/2018,63,17
26/01/2018,89.25,18
26/01/2018,71.95,19
26/01/2018,66.96,20
26/01/2018,49.4,21
26/01/2018,47.79,22
26/01/2018,41,23
27/01/2018,52.09,0
27/01/2018,47.91,1
27/01/2018,57,2
27/01/2018,43.92,3
27/01/2018,42.93,4
27/01/2018,37.21,5
27/01/2018,29.32,6
27/01/2018,31.26,7
27/01/2018,39.19,8
27/01/2018,42.56,9
27/01/2018,56.2,10
27/01/2018,56,11
27/01/2018,49.09,12
27/01/2018,43.96,13
27/01/2018,42.03,14
27/01/2018,39.58,15
27/01/2018,41.39,16
27/01/2018,45.2,17
27/01/2018,75,18
27/01/2018,69.94,19
27/01/2018,50.66,20
27/01/2018,41.84,21
27/01/2018,40.7,22
27/01/2018,38.91,23
28/01/2018,44.8,0
28/01/2018,45.91,1
28/01/2018,44.98,2
28/01/2018,47.93,3
28/01/2018,40.99,4
28/01/2018,39.6,5
28/01/2018,37.8,6
28/01/2018,41.94,7
28/01/2018,30.6,8
28/01/2018,29.51,9
28/01/2018,44.13,10
28/01/2018,46.52,11
28/01/2018,46.3,12
28/01/2018,52.9,13
28/01/2018,50,14
28/01/2018,45.03,15
28/01/2018,46.6,16
28/01/2018,50.06,17
28/01/2018,75.92,18
28/01/2018,67.9,19
28/01/2018,47.04,20
28/01/2018,47,21
28/01/2018,41.32,22
28/01/2018,32.28,23
29/01/2018,25.88,0
29/01/2018,25.57,1
29/01/2018,29,2
29/01/2018,16.47,3
29/01/2018,10.1,4
29/01/2018,17.6,5
29/01/2018,30.29,6
29/01/2018,48.94,7
29/01/2018,44.15,8
29/01/2018,46.27,9
29/01/2018,51.9,10
29/01/2018,46.1,11
29/01/2018,44.8,12
29/01/2018,44.56,13
29/01/2018,43.09,14
29/01/2018,38.49,15
29/01/2018,33.44,16
29/01/2018,43.53,17
29/01/2018,68.94,18
29/01/2018,62,19
29/01/2018,58.1,20
29/01/2018,54,21
29/01/2018,50.5,22
29/01/2018,37.57,23
30/01/2018,40.99,0
30/01/2018,43.19,1
30/01/2018,41.91,2
30/01/2018,40.22,3
30/01/2018,40.04,4
30/01/2018,39.92,5
30/01/2018,40.04,6
30/01/2018,49.92,7
30/01/2018,49.7,8
30/01/2018,60,9
30/01/2018,60.1,10
30/01/2018,48.98,11
30/01/2018,43,12
30/01/2018,42,13
30/01/2018,40.65,14
30/01/2018,40.72,15
30/01/2018,41.36,16
30/01/2018,47.53,17
30/01/2018,71.45,18
30/01/2018,55,19
30/01/2018,53.76,20
30/01/2018,47.44,21
30/01/2018,40.35,22
30/01/2018,36.45,23
31/01/2018,48,0
31/01/2018,44.95,1
31/01/2018,43.01,2
31/01/2018,39.99,3
31/01/2018,36.57,4
31/01/2018,29.44,5
31/01/2018,37.99,6
31/01/2018,45.91,7
31/01/2018,48.79,8
31/01/2018,54.61,9
31/01/2018,57,10
31/01/2018,45.1,11
31/01/2018,41.38,12
31/01/2018,41.19,13
31/01/2018,40.86,14
31/01/2018,40.61,15
31/01/2018,41.23,16
31/01/2018,49,17
31/01/2018,75,18
31/01/2018,66,19
31/01/2018,55.01,20
31/01/2018,50.01,21
31/01/2018,44.44,22
31/01/2018,37.97,23
01/02/2018,45.07,0
01/02/2018,44.96,1
01/02/2018,48.5,2
01/02/2018,41.95,3
01/02/2018,37.03,4
01/02/2018,27.05,5
01/02/2018,37.08,6
01/02/2018,45.52,7
01/02/2018,46.59,8
01/02/2018,57.53,9
01/02/2018,50,10
01/02/2018,43.45,11
01/02/2018,41.33,12
01/02/2018,41.33,13
01/02/2018,42.24,14
01/02/2018,43.45,15
01/02/2018,43.45,16
01/02/2018,49.62,17
01/02/2018,76.01,18
01/02/2018,69.02,19
01/02/2018,57,20
01/02/2018,47.18,21
01/02/2018,47.44,22
01/02/2018,39.4,23
02/02/2018,40,0
02/02/2018,41.52,1
02/02/2018,41.38,2
02/02/2018,40.9,3
02/02/2018,35.37,4
02/02/2018,36,5
02/02/2018,41.95,6
02/02/2018,50.7,7
02/02/2018,45,8
02/02/2018,53.1,9
02/02/2018,53.21,10
02/02/2018,44.1,11
02/02/2018,42.62,12
02/02/2018,43.01,13
02/02/2018,46.37,14
02/02/2018,48.69,15
02/02/2018,43,16
02/02/2018,53.36,17
02/02/2018,87.5,18
02/02/2018,76,19
02/02/2018,60.01,20
02/02/2018,49.14,21
02/02/2018,50.59,22
02/02/2018,43,23
03/02/2018,47.92,0
03/02/2018,46.94,1
03/02/2018,45.94,2
03/02/2018,43.9,3
03/02/2018,42.92,4
03/02/2018,42.01,5
03/02/2018,42.49,6
03/02/2018,44.53,7
03/02/2018,41.83,8
03/02/2018,51.95,9
03/02/2018,56,10
03/02/2018,60.24,11
03/02/2018,61.04,12
03/02/2018,50.6,13
03/02/2018,44.55,14
03/02/2018,42.08,15
03/02/2018,42,16
03/02/2018,46.96,17
03/02/2018,82.44,18
03/02/2018,70.1,19
03/02/2018,53.22,20
03/02/2018,45.78,21
03/02/2018,49,22
03/02/2018,41.57,23
04/02/2018,43.03,0
04/02/2018,43.79,1
04/02/2018,43.78,2
04/02/2018,41.95,3
04/02/2018,41.92,4
04/02/2018,41.15,5
04/02/2018,41.23,6
04/02/2018,41.57,7
04/02/2018,39.29,8
04/02/2018,41.34,9
04/02/2018,41.94,10
04/02/2018,44.99,11
04/02/2018,49.03,12
04/02/2018,47.75,13
04/02/2018,51.23,14
04/02/2018,45.53,15
04/02/2018,45,16
04/02/2018,53.3,17
04/02/2018,75.01,18
04/02/2018,68.96,19
04/02/2018,55.1,20
04/02/2018,50.07,21
04/02/2018,51.54,22
04/02/2018,41.86,23
05/02/2018,41.93,0
05/02/2018,42.53,1
05/02/2018,42.59,2
05/02/2018,42.57,3
05/02/2018,42.56,4
05/02/2018,42.51,5
05/02/2018,42.05,6
05/02/2018,49.51,7
05/02/2018,52.78,8
05/02/2018,58,9
05/02/2018,59.96,10
05/02/2018,47.16,11
05/02/2018,44.56,12
05/02/2018,44.04,13
05/02/2018,44.06,14
05/02/2018,44.33,15
05/02/2018,54.97,16
05/02/2018,55.3,17
05/02/2018,76.31,18
05/02/2018,75.04,19
05/02/2018,58,20
05/02/2018,52.03,21
05/02/2018,52.03,22
05/02/2018,43.06,23
06/02/2018,43.63,0
06/02/2018,45.43,1
06/02/2018,43.64,2
06/02/2018,43,3
06/02/2018,42.27,4
06/02/2018,41.66,5
06/02/2018,42.05,6
06/02/2018,48.97,7
06/02/2018,56.51,8
06/02/2018,56.13,9
06/02/2018,54.3,10
06/02/2018,52.78,11
06/02/2018,47.5,12
06/02/2018,46.67,13
06/02/2018,45.64,14
06/02/2018,45.02,15
06/02/2018,48.59,16
06/02/2018,54.81,17
06/02/2018,68.92,18
06/02/2018,67,19
06/02/2018,60.5,20
06/02/2018,48,21
06/02/2018,43.53,22
06/02/2018,41.51,23
07/02/2018,40.81,0
07/02/2018,41.99,1
07/02/2018,40.81,2
07/02/2018,40.56,3
07/02/2018,40.94,4
07/02/2018,40.73,5
07/02/2018,42.88,6
07/02/2018,53.69,7
07/02/2018,56.14,8
07/02/2018,56.05,9
07/02/2018,52.98,10
